id,marketing_channel,account_creation_method,account_creation_date,country_code,loyalty_program
CO92885,email,Website Sign-Up,2022-01-10 14:36:51,#VALUE!,1
NF27069,social media,Tablet App Sign-Up,2023-11-19 19:04:16,CA,0
PF96302,direct,Tablet App Sign-Up,2022-01-23 12:41:26,GB,1
WZ24539,direct,Website Sign-Up,2024-03-14 17:06:38,US,0
GS87460,direct,Website Sign-Up,2023-12-12 10:59:38,CA,0
SW81101,social media,Tablet App Sign-Up,2024-08-04 03:25:07,US,1
HC60902,affiliate,Mobile App Sign-Up,2022-07-23 02:04:57,CA,1
BU59705,email,TV App Sign-Up,2022-09-23 07:00:55,MX,0
TL78882,email,Tablet App Sign-Up,2023-06-04 18:27:29,#VALUE!,1
IH28737,email,TV App Sign-Up,2024-07-16 14:50:08,IN,0
QB75781,affiliate,Mobile App Sign-Up,2023-07-18 01:24:36,GB,1
AQ91652,direct,Website Sign-Up,2023-08-23 23:31:28,#VALUE!,1
VK79242,affiliate,TV App Sign-Up,2023-05-21 10:23:57,BR,0
SS49552,direct,Website Sign-Up,2022-12-31 14:13:53,US,1
LO37322,direct,Tablet App Sign-Up,2022-04-30 11:54:38,MX,1
SS77416,email,TV App Sign-Up,2024-05-30 20:22:06,#VALUE!,0
MA17476,direct,Mobile App Sign-Up,2024-03-21 23:18:27,BR,1
KV77956,other,TV App Sign-Up,2022-01-11 13:00:02,US,1
RA71762,affiliate,Website Sign-Up,2021-11-22 13:25:31,CA,0
WE16939,affiliate,TV App Sign-Up,2021-01-25 02:38:45,MX,0
MB74165,direct,Tablet App Sign-Up,2022-06-08 15:59:04,US,1
LZ16299,affiliate,Tablet App Sign-Up,2021-05-03 06:48:41,FR,1
HC21003,social media,TV App Sign-Up,2024-08-27 08:11:47,US,1
RB20765,direct,Website Sign-Up,2023-04-28 11:58:20,#VALUE!,1
HQ49979,social media,Website Sign-Up,2021-11-23 10:04:07,DE,1
ED44489,affiliate,Website Sign-Up,2021-10-15 19:25:38,FR,0
FR80210,direct,Website Sign-Up,2024-08-12 09:35:47,GB,1
NE23013,other,Website Sign-Up,2024-02-27 10:59:26,JP,1
XN24416,direct,Website Sign-Up,2021-11-21 12:21:11,#VALUE!,0
DC27509,email,TV App Sign-Up,2024-07-27 19:01:56,AU,1
DR29091,direct,TV App Sign-Up,2021-04-08 02:24:51,JP,1
DY45129,email,TV App Sign-Up,2021-11-15 02:09:20,GB,0
SX52779,direct,TV App Sign-Up,2023-10-17 21:30:08,GB,1
TC89557,direct,Mobile App Sign-Up,2023-06-15 05:25:42,CA,0
ET55940,direct,Website Sign-Up,2022-08-28 08:38:06,FR,0
ED63425,email,Tablet App Sign-Up,2023-03-26 03:32:40,US,1
LQ10673,social media,Tablet App Sign-Up,2021-11-02 20:53:27,BR,1
TG13638,direct,Website Sign-Up,2024-09-02 10:42:38,US,0
OT32522,email,Tablet App Sign-Up,2024-09-13 11:00:03,GB,1
BT93868,direct,TV App Sign-Up,2023-09-18 22:37:59,MX,1
IL46099,other,Tablet App Sign-Up,2022-01-04 06:06:37,JP,0
OX98162,direct,TV App Sign-Up,2020-12-19 13:42:48,AU,1
WM18232,other,Website Sign-Up,2022-09-05 12:08:15,CA,1
KC45437,direct,TV App Sign-Up,2021-04-12 20:06:09,FR,1
CP68254,email,Mobile App Sign-Up,2020-12-16 13:15:55,BR,1
YH51077,direct,TV App Sign-Up,2023-07-14 19:07:30,US,1
VZ74501,social media,Website Sign-Up,2023-11-27 22:18:22,US,1
KL47788,direct,TV App Sign-Up,2023-07-02 11:37:03,GB,0
DK89680,email,Tablet App Sign-Up,2021-08-13 04:53:46,IN,1
BG29255,email,Mobile App Sign-Up,2021-10-21 17:11:07,CA,1
AY52710,social media,Mobile App Sign-Up,2022-06-30 11:41:00,IN,1
QH32141,affiliate,Tablet App Sign-Up,2021-10-04 10:54:57,FR,1
XR64113,email,Website Sign-Up,2024-02-20 07:47:24,AU,0
VE15081,direct,Website Sign-Up,2022-08-17 12:27:07,CA,1
HO55128,email,Mobile App Sign-Up,2021-08-14 07:14:19,BR,0
NC69994,direct,Mobile App Sign-Up,2021-08-19 13:35:27,CA,1
KL27538,direct,TV App Sign-Up,2023-05-19 17:08:47,MX,0
FJ49830,email,TV App Sign-Up,2023-07-05 13:21:34,BR,1
JW39491,email,Tablet App Sign-Up,2021-04-20 13:08:57,US,0
TE95333,direct,TV App Sign-Up,2024-08-13 00:06:49,CA,0
FS34042,direct,TV App Sign-Up,2024-09-15 17:14:09,JP,0
AI42661,social media,Website Sign-Up,2023-07-05 06:12:42,US,1
RE43665,email,TV App Sign-Up,2022-02-15 09:22:51,CA,0
GT88276,email,Mobile App Sign-Up,2022-04-01 01:00:58,IN,1
PT44369,direct,Mobile App Sign-Up,2022-10-06 13:39:15,US,1
KP32585,social media,Website Sign-Up,2024-05-17 08:32:37,GB,0
MP57620,direct,Website Sign-Up,2023-06-29 23:36:07,IN,1
BC30467,direct,Tablet App Sign-Up,2021-10-03 18:25:31,FR,0
EP47199,social media,TV App Sign-Up,2022-04-29 11:20:56,GB,0
EW40080,other,Website Sign-Up,2024-06-25 01:31:46,CA,1
IS14336,affiliate,Website Sign-Up,2023-10-20 09:31:39,GB,1
XA46639,social media,Tablet App Sign-Up,2022-01-12 11:56:28,US,0
RA43149,affiliate,TV App Sign-Up,2022-10-18 10:39:17,CA,0
UR63269,direct,TV App Sign-Up,2022-02-06 19:00:42,CA,0
GH74071,direct,Website Sign-Up,2023-11-06 04:03:56,GB,0
KU85457,direct,Website Sign-Up,2023-10-15 19:26:43,AU,1
BZ96317,email,Website Sign-Up,2023-03-17 11:06:23,US,0
KK52210,direct,Mobile App Sign-Up,2023-08-25 14:59:41,GB,1
SD10396,other,Mobile App Sign-Up,2021-12-24 09:29:42,DE,1
EQ20819,direct,Website Sign-Up,2022-06-17 10:54:29,CA,1
RT48761,email,Mobile App Sign-Up,2022-02-03 06:58:19,#VALUE!,0
FX33154,affiliate,TV App Sign-Up,2022-05-03 13:47:37,FR,0
WH74518,direct,TV App Sign-Up,2023-01-28 21:14:12,CA,0
YB61119,affiliate,Mobile App Sign-Up,2021-03-12 00:07:59,US,1
LW10191,direct,Tablet App Sign-Up,2022-12-27 11:47:42,CA,0
ZL81720,direct,Website Sign-Up,2023-05-12 05:54:45,US,0
UE34017,email,Mobile App Sign-Up,2024-04-26 09:47:47,US,1
LE62505,affiliate,Tablet App Sign-Up,2021-02-19 03:12:22,DE,1
GX37932,direct,Mobile App Sign-Up,2022-04-30 21:51:45,MX,1
SG26971,direct,Tablet App Sign-Up,2024-02-02 02:23:39,JP,1
EI50259,email,Tablet App Sign-Up,2023-07-01 22:27:34,GB,0
YO54422,email,Mobile App Sign-Up,2023-08-07 13:53:36,GB,1
AF92571,other,TV App Sign-Up,2021-01-25 17:24:04,CA,0
ID84765,direct,Website Sign-Up,2021-02-28 15:50:01,GB,1
GN11033,affiliate,Website Sign-Up,2021-09-26 09:26:57,CA,0
IE85122,direct,TV App Sign-Up,2023-04-19 09:07:11,GB,1
HM99600,email,Mobile App Sign-Up,2024-01-13 14:38:49,US,0
AY67895,email,Mobile App Sign-Up,2022-08-07 02:32:07,JP,1
YS35789,email,Website Sign-Up,2023-11-06 00:32:04,FR,1
JT35945,other,Tablet App Sign-Up,2024-08-12 07:06:29,AU,1
GS58906,affiliate,Website Sign-Up,2023-03-02 17:09:27,#VALUE!,1
QD59486,direct,Mobile App Sign-Up,2022-01-27 00:22:39,AU,0
FO97819,affiliate,Mobile App Sign-Up,2023-05-26 14:03:00,CA,0
TU15251,direct,Website Sign-Up,2023-06-26 09:42:19,MX,0
QY38206,email,Mobile App Sign-Up,2022-12-30 07:42:23,FR,1
GF81457,email,TV App Sign-Up,2023-08-11 01:07:54,GB,0
DO66579,social media,TV App Sign-Up,2023-05-09 22:46:08,CA,1
QX36205,direct,Mobile App Sign-Up,2021-09-04 21:12:17,BR,1
OH33646,email,TV App Sign-Up,2023-10-17 19:19:25,US,0
SW92104,social media,Website Sign-Up,2023-07-28 06:37:24,AU,1
UJ50006,direct,Mobile App Sign-Up,2022-05-13 01:48:24,US,1
QJ99008,direct,Mobile App Sign-Up,2021-11-18 12:46:02,MX,1
XH74872,affiliate,Website Sign-Up,2021-07-10 20:07:40,AU,0
IG56233,affiliate,TV App Sign-Up,2023-11-27 23:59:00,#VALUE!,0
CP22198,email,Tablet App Sign-Up,2021-02-17 15:22:36,IN,1
KS57374,affiliate,Tablet App Sign-Up,2022-01-25 09:50:00,FR,1
UR45386,social media,Mobile App Sign-Up,2023-04-19 09:16:55,US,1
JW26471,affiliate,Mobile App Sign-Up,2021-05-25 02:58:04,FR,0
XQ98589,direct,Mobile App Sign-Up,2021-03-15 04:09:30,MX,0
ZG55528,affiliate,Mobile App Sign-Up,2024-02-26 16:54:49,GB,1
AM79308,social media,TV App Sign-Up,2021-09-13 14:26:17,CA,1
WA51753,email,Tablet App Sign-Up,2021-09-11 01:43:03,AU,1
YZ70617,email,Mobile App Sign-Up,2021-07-05 23:42:50,FR,0
ZZ24196,email,Tablet App Sign-Up,2021-06-02 07:54:09,US,0
BL71686,other,Mobile App Sign-Up,2023-05-14 00:25:45,GB,1
JU23511,affiliate,Website Sign-Up,2023-10-16 08:42:18,US,0
MN89006,direct,Website Sign-Up,2023-12-02 16:34:07,CA,0
JJ79754,direct,Website Sign-Up,2022-10-02 17:21:03,US,0
OG58405,email,TV App Sign-Up,2023-10-24 22:21:28,US,0
GP11410,social media,Website Sign-Up,2023-01-13 01:33:32,BR,0
OJ96030,email,Mobile App Sign-Up,2024-01-20 17:57:59,MX,1
MB88954,direct,Tablet App Sign-Up,2021-11-06 20:44:44,IN,1
LE44298,social media,TV App Sign-Up,2022-09-15 06:17:13,#VALUE!,0
HV11983,email,Website Sign-Up,2023-03-06 15:02:30,MX,0
LD39557,email,Website Sign-Up,2022-04-08 08:20:36,GB,1
ZE72602,direct,Website Sign-Up,2023-12-20 15:39:38,US,1
FS19842,direct,Tablet App Sign-Up,2023-03-24 20:49:13,BR,0
OR14071,email,TV App Sign-Up,2023-12-22 11:31:39,#VALUE!,1
JM27276,email,Website Sign-Up,2023-04-02 00:52:58,IN,1
NZ92979,direct,Mobile App Sign-Up,2022-04-08 21:27:23,GB,0
OB18234,affiliate,Tablet App Sign-Up,2022-01-06 05:00:11,US,0
CS47489,direct,Tablet App Sign-Up,2021-05-12 19:23:51,#VALUE!,1
